万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
002820.SZ,002820,20260325,91502210,201444,C,0, ,0,400,70095,0
002820.SZ,002820,20260325,91508470,240649,C,0, ,0,400,231827,0
002820.SZ,002820,20260325,91508470,240654,C,0, ,0,200,239469,0
002820.SZ,002820,20260325,91542320,246991,C,0, ,0,800,87161,0
002820.SZ,002820,20260325,91559390,250944,C,0, ,0,600,87160,0
002820.SZ,002820,20260325,91631340,259095,C,0, ,0,900,0,245606
002820.SZ,002820,20260325,91656520,265663,C,0, ,0,900,0,261669
002820.SZ,002820,20260325,92500000,553500,0,0,B,107500,400,127877,204630
002820.SZ,002820,20260325,92500000,553501,0,0,S,107500,600,452962,204630
002820.SZ,002820,20260325,92500000,553502,0,0,S,107500,4900,454706,204630
002820.SZ,002820,20260325,92500000,553503,0,0,S,107500,300,315267,204630
002820.SZ,002820,20260325,92500000,553504,0,0,S,107500,600,480927,204630
002820.SZ,002820,20260325,92500000,553505,0,0,S,107500,200,278564,204630
002820.SZ,002820,20260325,92500000,553506,0,0,S,107500,600,480765,204630
002820.SZ,002820,20260325,92500000,553507,0,0,S,107500,300,481064,204630
002820.SZ,002820,20260325,92500000,553508,0,0,S,107500,400,481856,204630
002820.SZ,002820,20260325,92500000,553509,0,0,S,107500,1200,482790,204630
002820.SZ,002820,20260325,92500000,553510,0,0,S,107500,1400,482877,204630
002820.SZ,002820,20260325,92500000,553511,0,0,S,107500,1000,310898,204630
002820.SZ,002820,20260325,92500000,553512,0,0,S,107500,100,390978,204630
002820.SZ,002820,20260325,92500000,553513,0,0,S,107500,100,484705,204630
002820.SZ,002820,20260325,92500000,553514,0,0,S,107500,100,485374,204630
002820.SZ,002820,20260325,92500000,553515,0,0,S,107500,100,486001,204630
002820.SZ,002820,20260325,92500000,553516,0,0,S,107500,500,476790,204630
002820.SZ,002820,20260325,92500000,553517,0,0,S,107500,2000,476790,241898
002820.SZ,002820,20260325,92500000,553518,0,0,S,107500,1000,476790,332253
002820.SZ,002820,20260325,92500000,553519,0,0,S,107500,700,476790,332723
002820.SZ,002820,20260325,92500000,553520,0,0,S,107500,1100,476790,332902
002820.SZ,002820,20260325,92500000,553521,0,0,B,107500,200,56391,350573
002820.SZ,002820,20260325,92500000,553522,0,0,B,107500,100,173335,350573
002820.SZ,002820,20260325,92500000,553523,0,0,B,107500,100,173335,356737
002820.SZ,002820,20260325,92500000,553524,0,0,B,107500,100,193488,408327
002820.SZ,002820,20260325,92500000,553525,0,0,B,107500,100,193488,466273
002820.SZ,002820,20260325,92500000,553526,0,0,B,107500,400,203317,466273
002820.SZ,002820,20260325,92500000,553527,0,0,B,107500,100,203317,355067
002820.SZ,002820,20260325,92500000,553528,0,0,B,107500,500,203317,490767
002820.SZ,002820,20260325,92500000,553529,0,0,B,107500,3200,230997,490767
002820.SZ,002820,20260325,92500000,553530,0,0,B,107500,200,467830,490767
002820.SZ,002820,20260325,92500000,553531,0,0,B,107500,300,467830,480916
002820.SZ,002820,20260325,92500000,553532,0,0,B,107500,100,308156,480916
002820.SZ,002820,20260325,92500000,553533,0,0,B,107500,400,308156,354356
002820.SZ,002820,20260325,92500000,553534,0,0,B,107500,500,308156,417982
002820.SZ,002820,20260325,92500000,553535,0,0,B,107500,1000,408454,417982
002820.SZ,002820,20260325,92500000,553536,0,0,S,107500,100,484161,417982
002820.SZ,002820,20260325,92500000,553537,0,0,S,107500,100,485906,417982
002820.SZ,002820,20260325,92500000,553538,0,0,S,107500,100,486529,417982
002820.SZ,002820,20260325,92500000,553539,0,0,S,107500,400,494617,344313
002820.SZ,002820,20260325,92500000,553540,0,0,S,107500,900,494617,474211
002820.SZ,002820,20260325,92500000,553541,0,0,S,107500,1000,494617,323773
002820.SZ,002820,20260325,92500000,553542,0,0,B,107500,4200,406282,441496
002820.SZ,002820,20260325,93000030,595336,0,0,B,107500,400,406282,595335
002820.SZ,002820,20260325,93000030,595337,0,0,B,107500,100,498381,595335
002820.SZ,002820,20260325,93000030,597389,C,0, ,0,1800,498381,0
002820.SZ,002820,20260325,93000070,616462,0,0,B,107700,300,478525,616461
002820.SZ,002820,20260325,93000090,630920,C,0, ,0,5600,493256,0
002820.SZ,002820,20260325,93000110,639154,0,0,S,107500,100,639153,599946
002820.SZ,002820,20260325,93000140,658921,0,0,B,107700,300,478525,658920
002820.SZ,002820,20260325,93000190,682295,C,0, ,0,2000,416507,0
002820.SZ,002820,20260325,93000200,686067,0,0,S,107500,100,686066,599946
002820.SZ,002820,20260325,93000200,687587,0,0,S,107500,500,687586,599946
002820.SZ,002820,20260325,93000230,700252,C,0, ,0,4000,410808,0
002820.SZ,002820,20260325,93000250,709361,0,0,B,107700,100,478525,709360
002820.SZ,002820,20260325,93000250,709362,0,0,B,107700,5000,655226,709360
002820.SZ,002820,20260325,93000250,709363,0,0,B,107800,400,122474,709360
002820.SZ,002820,20260325,93000270,717676,0,0,S,107500,700,717675,599946
002820.SZ,002820,20260325,93000270,717677,0,0,S,107500,800,717675,627625
002820.SZ,002820,20260325,93000330,733881,0,0,B,107800,1600,122474,733880
002820.SZ,002820,20260325,93000330,733882,0,0,B,107800,1000,414252,733880
002820.SZ,002820,20260325,93000330,733883,0,0,B,107900,1000,635392,733880
002820.SZ,002820,20260325,93000330,733884,0,0,B,108000,1000,305571,733880
002820.SZ,002820,20260325,93000330,733885,0,0,B,108000,1000,446202,733880
