万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
301305.SZ,301305,20260325,91500030,0,452,0,B,227600,100
301305.SZ,301305,20260325,91500040,0,2341,0,S,298000,100
301305.SZ,301305,20260325,91500050,0,6778,0,B,243300,40000
301305.SZ,301305,20260325,91500060,0,13702,0,B,235300,100
301305.SZ,301305,20260325,91500060,0,14358,0,S,263100,200
301305.SZ,301305,20260325,91500060,0,14790,0,B,239800,100
301305.SZ,301305,20260325,91500070,0,16223,0,S,297800,500
301305.SZ,301305,20260325,91500070,0,16434,0,B,241900,100
301305.SZ,301305,20260325,91500070,0,17530,0,S,260000,300
301305.SZ,301305,20260325,91500070,0,19312,0,S,247000,1300
301305.SZ,301305,20260325,91500090,0,25239,0,S,266000,200
301305.SZ,301305,20260325,91500090,0,25596,0,B,248800,600
301305.SZ,301305,20260325,91500090,0,25597,0,B,247600,600
301305.SZ,301305,20260325,91500090,0,27216,0,S,260000,5000
301305.SZ,301305,20260325,91500100,0,28715,0,S,263600,400
301305.SZ,301305,20260325,91500100,0,29350,0,S,292900,200
301305.SZ,301305,20260325,91500100,0,29523,0,S,289800,200
301305.SZ,301305,20260325,91500100,0,29544,0,S,292000,1800
301305.SZ,301305,20260325,91500110,0,32967,0,S,289100,100
301305.SZ,301305,20260325,91500110,0,32968,0,S,265600,100
301305.SZ,301305,20260325,91500110,0,33530,0,S,285800,100
301305.SZ,301305,20260325,91500110,0,33731,0,S,262800,500
301305.SZ,301305,20260325,91500120,0,37925,0,B,239400,100
301305.SZ,301305,20260325,91500120,0,38150,0,S,298000,1000
301305.SZ,301305,20260325,91500130,0,42256,0,S,198600,100
301305.SZ,301305,20260325,91500130,0,44317,0,S,297900,600
301305.SZ,301305,20260325,91500140,0,47544,0,B,240100,600
301305.SZ,301305,20260325,91500140,0,47545,0,B,235200,1000
301305.SZ,301305,20260325,91500140,0,47546,0,S,298000,3000
301305.SZ,301305,20260325,91500140,0,47547,0,S,262000,1000
301305.SZ,301305,20260325,91500140,0,48062,0,S,298000,300
301305.SZ,301305,20260325,91500140,0,49074,0,B,240000,2000
301305.SZ,301305,20260325,91500140,0,49542,0,S,269800,400
301305.SZ,301305,20260325,91500140,0,49543,0,S,279800,700
301305.SZ,301305,20260325,91500140,0,49544,0,S,289800,700
301305.SZ,301305,20260325,91500150,0,50549,0,B,227000,500
301305.SZ,301305,20260325,91500150,0,50803,0,S,269800,500
301305.SZ,301305,20260325,91500150,0,50804,0,S,289800,500
301305.SZ,301305,20260325,91500150,0,51963,0,B,198700,300
301305.SZ,301305,20260325,91500150,0,51977,0,S,263800,700
301305.SZ,301305,20260325,91500150,0,52465,0,S,290000,100
301305.SZ,301305,20260325,91500160,0,53365,0,S,298000,400
301305.SZ,301305,20260325,91500160,0,53370,0,S,296800,200
301305.SZ,301305,20260325,91500160,0,53373,0,S,290900,200
301305.SZ,301305,20260325,91500160,0,53375,0,S,288800,200
301305.SZ,301305,20260325,91500160,0,55317,0,S,266500,1400
301305.SZ,301305,20260325,91500160,0,55521,0,S,260000,5000
301305.SZ,301305,20260325,91500160,0,56336,0,S,298000,100
301305.SZ,301305,20260325,91500170,0,58685,0,S,289300,400
301305.SZ,301305,20260325,91500170,0,58925,0,S,297700,100
301305.SZ,301305,20260325,91500170,0,59513,0,S,294800,200
301305.SZ,301305,20260325,91500190,0,64982,0,S,267200,1000
301305.SZ,301305,20260325,91500190,0,66035,0,B,248600,200
301305.SZ,301305,20260325,91500200,0,68061,0,S,298000,200
301305.SZ,301305,20260325,91500210,0,72121,0,S,288800,100
301305.SZ,301305,20260325,91500210,0,72123,0,S,297900,100
301305.SZ,301305,20260325,91500210,0,73171,0,S,266200,7600
301305.SZ,301305,20260325,91500210,0,73238,0,S,297900,100
301305.SZ,301305,20260325,91500210,0,73239,0,S,288800,100
301305.SZ,301305,20260325,91500210,0,73241,0,S,297900,100
301305.SZ,301305,20260325,91500210,0,73400,0,S,298000,500
301305.SZ,301305,20260325,91500220,0,74005,0,S,257000,100
301305.SZ,301305,20260325,91500220,0,74944,0,B,298000,100
301305.SZ,301305,20260325,91500220,0,75531,0,S,298000,1000
301305.SZ,301305,20260325,91500240,0,78624,0,B,220300,3000
301305.SZ,301305,20260325,91500250,0,80215,0,S,257800,200
301305.SZ,301305,20260325,91500250,0,80216,0,S,258800,200
301305.SZ,301305,20260325,91500250,0,80217,0,S,259800,200
301305.SZ,301305,20260325,91500250,0,80218,0,S,252800,200
301305.SZ,301305,20260325,91500250,0,80219,0,S,254800,200
301305.SZ,301305,20260325,91500260,0,82313,0,B,198600,500
301305.SZ,301305,20260325,91500270,0,84727,0,S,298000,1500
301305.SZ,301305,20260325,91500270,0,85443,0,S,254000,500
301305.SZ,301305,20260325,91500270,0,85447,0,B,245500,500
301305.SZ,301305,20260325,91500290,0,86791,0,S,298000,1500
301305.SZ,301305,20260325,91500290,0,87586,0,S,266600,200
301305.SZ,301305,20260325,91500310,0,90338,0,S,274400,500
301305.SZ,301305,20260325,91500340,0,94798,0,S,298000,500
301305.SZ,301305,20260325,91500350,0,96266,0,S,260000,5000
301305.SZ,301305,20260325,91500350,0,96796,0,S,298000,200
301305.SZ,301305,20260325,91500360,0,97319,0,S,298000,200
301305.SZ,301305,20260325,91500380,0,99788,0,S,298000,200
301305.SZ,301305,20260325,91500380,0,99799,0,S,260000,300
301305.SZ,301305,20260325,91500390,0,100910,0,B,241000,100
301305.SZ,301305,20260325,91500430,0,105326,0,B,235100,2400
301305.SZ,301305,20260325,91500440,0,105974,0,S,297000,200
301305.SZ,301305,20260325,91500440,0,106258,0,S,297200,100
301305.SZ,301305,20260325,91500450,0,106760,0,S,253000,100
301305.SZ,301305,20260325,91500450,0,106948,0,S,240000,900
301305.SZ,301305,20260325,91500460,0,107857,0,S,298000,500
301305.SZ,301305,20260325,91500460,0,108028,0,S,258300,2000
301305.SZ,301305,20260325,91500460,0,108042,0,B,236000,2000
301305.SZ,301305,20260325,91500490,0,111093,0,S,285800,100
301305.SZ,301305,20260325,91500490,0,111094,0,S,285800,100
301305.SZ,301305,20260325,91500490,0,111095,0,S,289100,100
301305.SZ,301305,20260325,91500490,0,111096,0,S,265600,100
301305.SZ,301305,20260325,91500490,0,111127,0,B,242200,100
301305.SZ,301305,20260325,91500490,0,111128,0,B,239400,100
301305.SZ,301305,20260325,91500490,0,111129,0,B,236600,100
301305.SZ,301305,20260325,91500490,0,111130,0,B,223800,100
301305.SZ,301305,20260325,91500510,0,113263,0,S,298000,200
301305.SZ,301305,20260325,91500550,0,117545,0,S,260000,5000
301305.SZ,301305,20260325,91500550,0,117546,0,S,260000,7000
301305.SZ,301305,20260325,91500550,0,117547,0,S,260000,3000
301305.SZ,301305,20260325,91500550,0,117915,0,S,260000,1500
301305.SZ,301305,20260325,91500550,0,117917,0,S,260000,1000
301305.SZ,301305,20260325,91500580,0,120658,0,S,258200,100
301305.SZ,301305,20260325,91500610,0,123725,0,S,268000,500
301305.SZ,301305,20260325,91500620,0,124045,0,S,265800,100
301305.SZ,301305,20260325,91500620,0,124325,0,B,248300,400
301305.SZ,301305,20260325,91500620,0,124389,0,S,272200,400
301305.SZ,301305,20260325,91500620,0,124392,0,S,290000,400
301305.SZ,301305,20260325,91500630,0,126099,0,B,240000,2300
301305.SZ,301305,20260325,91500650,0,127319,0,S,298000,5600
301305.SZ,301305,20260325,91500670,0,129937,0,S,260000,15000
301305.SZ,301305,20260325,91500670,0,130116,0,S,260000,500
301305.SZ,301305,20260325,91500680,0,130324,0,S,262700,500
301305.SZ,301305,20260325,91500680,0,130325,0,B,233300,500
301305.SZ,301305,20260325,91500680,0,130326,0,B,241100,500
301305.SZ,301305,20260325,91500680,0,131334,0,S,257600,500
301305.SZ,301305,20260325,91500690,0,131502,0,S,268000,2000
301305.SZ,301305,20260325,91500700,0,133031,0,S,250600,1000
301305.SZ,301305,20260325,91500740,0,136870,0,B,230300,100
301305.SZ,301305,20260325,91500750,0,137611,0,S,272700,5600
301305.SZ,301305,20260325,91500770,0,139813,0,S,256000,2300
301305.SZ,301305,20260325,91500770,0,140288,0,B,243000,100
301305.SZ,301305,20260325,91500770,0,140289,0,S,292700,300
