万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
600726.SH,600726,20260424,84515000,0,0,0,0,0,,,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600726.SH,600726,20260424,91400000,0,0,0,0,0,,,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600726.SH,600726,20260424,91500000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,201200,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,201200,31673000,0,0,0,0,0,0,0,0,50940,57980,201200,32026900,0,0,0,0,0,
600726.SH,600726,20260424,91503000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,402100,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,402100,31920700,0,0,0,0,0,0,0,0,54050,57780,402100,33786800,0,0,0,0,0,
600726.SH,600726,20260424,91506000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,954600,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,954600,31980700,0,0,0,0,0,0,0,0,55700,57570,954600,35892000,0,0,0,0,0,
600726.SH,600726,20260424,91509000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,1520600,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,1520600,32765200,0,0,0,0,0,0,0,0,56370,57360,1520600,38926100,0,0,0,0,0,
600726.SH,600726,20260424,91512000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,2078300,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,2078300,33030400,0,0,0,0,0,0,0,0,56620,57190,2078300,41374400,0,0,0,0,0,
600726.SH,600726,20260424,91515000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,2495800,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,2495800,32965100,0,0,0,0,0,0,0,0,56750,57030,2495800,43220600,0,0,0,0,0,
600726.SH,600726,20260424,91518000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,2859400,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,2859400,32443700,0,0,0,0,0,0,0,0,56770,56910,2859400,44143700,0,0,0,0,0,
600726.SH,600726,20260424,91521000,0,0,0,0,0,,,0,0,0,0,0,52700,58000,0,0,0,0,0,0,0,0,0,3101000,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0,3101000,32470000,0,0,0,0,0,0,0,0,56830,56790,3101000,45633700,0,0,0,0,0,
