万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
601609.SH,601609,20260325,91400910,0,0,S,I,0,0
601609.SH,601609,20260325,91500440,0,2910,A,B,93300,300
601609.SH,601609,20260325,91500470,0,2934,A,S,98900,500
601609.SH,601609,20260325,91501490,0,5240,A,B,90100,4000
601609.SH,601609,20260325,91501740,0,7107,A,S,104100,1000
601609.SH,601609,20260325,91501800,0,7263,A,B,94700,300
601609.SH,601609,20260325,91502060,0,8495,A,S,99700,1000
601609.SH,601609,20260325,91502060,0,8496,A,B,92100,800
601609.SH,601609,20260325,91502140,0,8684,A,S,102000,400
601609.SH,601609,20260325,91502140,0,8921,A,S,95200,600
601609.SH,601609,20260325,91502140,0,8922,A,S,95800,600
601609.SH,601609,20260325,91502140,0,8923,A,S,96400,600
601609.SH,601609,20260325,91502140,0,8965,A,S,97000,700
601609.SH,601609,20260325,91502140,0,9134,A,B,91000,1500
601609.SH,601609,20260325,91502180,0,9553,A,S,98900,200
601609.SH,601609,20260325,91502180,0,9975,A,B,93000,1300
601609.SH,601609,20260325,91502180,0,10349,A,S,99600,1000
601609.SH,601609,20260325,91502180,0,10642,A,S,99800,400
601609.SH,601609,20260325,91502180,0,10774,A,S,102000,400
601609.SH,601609,20260325,91502180,0,11092,A,S,97000,22800
601609.SH,601609,20260325,91502300,0,11145,A,B,91900,1000
601609.SH,601609,20260325,91502300,0,11596,A,S,103800,300
601609.SH,601609,20260325,91502300,0,11821,A,S,101400,300
601609.SH,601609,20260325,91502300,0,11904,A,B,89800,1000
601609.SH,601609,20260325,91502300,0,12149,A,S,99600,1800
601609.SH,601609,20260325,91502300,0,12467,A,S,98900,2200
601609.SH,601609,20260325,91502300,0,12606,A,S,99900,1000
601609.SH,601609,20260325,91502410,0,13274,A,B,93000,500
601609.SH,601609,20260325,91502410,0,13282,A,B,91500,500
601609.SH,601609,20260325,91502410,0,13296,A,S,96100,700
601609.SH,601609,20260325,91502410,0,13309,A,S,97600,500
601609.SH,601609,20260325,91502410,0,13321,A,S,99100,1000
601609.SH,601609,20260325,91502410,0,13323,A,S,104000,52900
601609.SH,601609,20260325,91502410,0,13343,A,S,100600,1000
601609.SH,601609,20260325,91502660,0,16618,A,B,92700,2200
601609.SH,601609,20260325,91502730,0,16983,A,B,87900,1700
601609.SH,601609,20260325,91502730,0,17068,A,B,87900,1500
601609.SH,601609,20260325,91502730,0,17098,A,S,98500,1000
601609.SH,601609,20260325,91502730,0,17105,A,S,101000,600
601609.SH,601609,20260325,91502730,0,17106,A,S,104100,600
601609.SH,601609,20260325,91502730,0,17127,A,B,85800,900
601609.SH,601609,20260325,91502730,0,17287,A,B,91000,200
601609.SH,601609,20260325,91502730,0,17307,A,B,88000,200
601609.SH,601609,20260325,91502730,0,17308,A,B,85500,200
601609.SH,601609,20260325,91502730,0,17612,A,S,104100,9600
601609.SH,601609,20260325,91502730,0,17818,A,S,96100,200
601609.SH,601609,20260325,91502730,0,17819,A,S,97500,200
601609.SH,601609,20260325,91502730,0,17964,A,S,104000,3000
601609.SH,601609,20260325,91502830,0,18293,A,S,99900,600
601609.SH,601609,20260325,91502950,0,20648,A,S,98800,1600
601609.SH,601609,20260325,91502950,0,20721,A,B,90200,1500
601609.SH,601609,20260325,91502950,0,21052,A,B,93000,300
601609.SH,601609,20260325,91502950,0,21426,A,S,104000,2000
601609.SH,601609,20260325,91502950,0,22146,A,B,91000,300
601609.SH,601609,20260325,91503090,0,22643,A,S,104100,100
601609.SH,601609,20260325,91503090,0,23713,A,B,94700,1000
601609.SH,601609,20260325,91503090,0,23874,A,S,98600,1000
601609.SH,601609,20260325,91503090,0,23992,A,S,100200,1000
601609.SH,601609,20260325,91503220,0,24229,A,S,104000,100
601609.SH,601609,20260325,91503220,0,24543,A,B,90100,1000
601609.SH,601609,20260325,91503220,0,25309,A,S,102000,5000
601609.SH,601609,20260325,91503220,0,25411,A,B,93800,500
601609.SH,601609,20260325,91503360,0,26507,A,B,93000,1000
601609.SH,601609,20260325,91503360,0,26842,A,S,99700,200
601609.SH,601609,20260325,91503360,0,27281,A,S,104100,6400
601609.SH,601609,20260325,91503500,0,28216,A,S,104100,1000
