万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数
688008.SH,688008,20260325,91403000,0,0,0,0,0,,,0,0,0,0,0,1375700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688008.SH,688008,20260325,91500000,0,0,0,0,0,,,0,0,0,0,0,1375700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395000,1253200,200,400,0,0,0,0,0
688008.SH,688008,20260325,91503000,0,0,0,0,0,,,0,0,0,0,0,1375700,1379500,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,1379500,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,1523560,1305200,68797,17492,0,0,0,0,0
688008.SH,688008,20260325,91506000,0,0,0,0,0,,,0,0,0,0,0,1375700,1380000,0,0,0,0,0,0,0,0,0,7551,543,0,0,0,0,0,0,0,0,1380000,0,0,0,0,0,0,0,0,0,7551,0,0,0,0,0,0,0,0,0,1516090,1321520,215164,47752,0,0,0,0,0
688008.SH,688008,20260325,91509000,0,0,0,0,0,,,0,0,0,0,0,1375700,1380000,0,0,0,0,0,0,0,0,0,9817,2019,0,0,0,0,0,0,0,0,1380000,0,0,0,0,0,0,0,0,0,9817,0,0,0,0,0,0,0,0,0,1514500,1320570,357569,73516,0,0,0,0,0
688008.SH,688008,20260325,91512000,0,0,0,0,0,,,0,0,0,0,0,1375700,1382600,0,0,0,0,0,0,0,0,0,11517,11,0,0,0,0,0,0,0,0,1382600,0,0,0,0,0,0,0,0,0,11517,0,0,0,0,0,0,0,0,0,1516820,1320870,424747,98523,0,0,0,0,0
688008.SH,688008,20260325,91515000,0,0,0,0,0,,,0,0,0,0,0,1375700,1386000,0,0,0,0,0,0,0,0,0,12217,1721,0,0,0,0,0,0,0,0,1386000,0,0,0,0,0,0,0,0,0,12217,0,0,0,0,0,0,0,0,0,1515720,1318990,440133,132849,0,0,0,0,0
688008.SH,688008,20260325,91518000,0,0,0,0,0,,,0,0,0,0,0,1375700,1386300,0,0,0,0,0,0,0,0,0,13938,0,0,0,0,0,0,0,0,0,1386300,0,0,0,0,0,0,0,0,0,13938,317,0,0,0,0,0,0,0,0,1515450,1333330,453673,185628,0,0,0,0,0
688008.SH,688008,20260325,91521000,0,0,0,0,0,,,0,0,0,0,0,1375700,1386300,0,0,0,0,0,0,0,0,0,14938,0,0,0,0,0,0,0,0,0,1386300,0,0,0,0,0,0,0,0,0,14938,617,0,0,0,0,0,0,0,0,1515910,1335720,474920,195328,0,0,0,0,0
688008.SH,688008,20260325,91524000,0,0,0,0,0,,,0,0,0,0,0,1375700,1386300,0,0,0,0,0,0,0,0,0,14938,0,0,0,0,0,0,0,0,0,1386300,0,0,0,0,0,0,0,0,0,14938,617,0,0,0,0,0,0,0,0,1515870,1335500,475720,197498,0,0,0,0,0
